trial,type,side,spikes_per_cell,latency_ms
0,MN9,L,0.0,
0,MN9,R,0.0,
1,MN9,L,0.0,
1,MN9,R,0.0,
2,MN9,L,0.0,
2,MN9,R,0.0,
3,MN9,L,0.0,
3,MN9,R,0.0,
4,MN9,L,0.0,
4,MN9,R,0.0,
5,MN9,L,0.0,
5,MN9,R,0.0,
6,MN9,L,0.0,
6,MN9,R,0.0,
7,MN9,L,0.0,
7,MN9,R,0.0,
8,MN9,L,0.0,
8,MN9,R,0.0,
9,MN9,L,0.0,
9,MN9,R,0.0,
10,MN9,L,0.0,
10,MN9,R,0.0,
11,MN9,L,0.0,
11,MN9,R,0.0,
12,MN9,L,0.0,
12,MN9,R,0.0,
13,MN9,L,0.0,
13,MN9,R,0.0,
14,MN9,L,0.0,
14,MN9,R,0.0,
15,MN9,L,0.0,
15,MN9,R,0.0,
16,MN9,L,0.0,
16,MN9,R,0.0,
17,MN9,L,0.0,
17,MN9,R,0.0,
18,MN9,L,0.0,
18,MN9,R,0.0,
19,MN9,L,0.0,
19,MN9,R,0.0,
20,MN9,L,0.0,
20,MN9,R,0.0,
21,MN9,L,0.0,
21,MN9,R,0.0,
22,MN9,L,0.0,
22,MN9,R,0.0,
23,MN9,L,0.0,
23,MN9,R,0.0,
24,MN9,L,0.0,
24,MN9,R,0.0,
25,MN9,L,0.0,
25,MN9,R,0.0,
26,MN9,L,0.0,
26,MN9,R,0.0,
27,MN9,L,0.0,
27,MN9,R,0.0,
28,MN9,L,0.0,
28,MN9,R,0.0,
29,MN9,L,0.0,
29,MN9,R,0.0,
30,MN9,L,0.0,
30,MN9,R,0.0,
31,MN9,L,0.0,
31,MN9,R,0.0,
32,MN9,L,0.0,
32,MN9,R,0.0,
33,MN9,L,0.0,
33,MN9,R,0.0,
34,MN9,L,0.0,
34,MN9,R,0.0,
35,MN9,L,0.0,
35,MN9,R,0.0,
36,MN9,L,0.0,
36,MN9,R,0.0,
37,MN9,L,0.0,
37,MN9,R,0.0,
38,MN9,L,0.0,
38,MN9,R,0.0,
39,MN9,L,0.0,
39,MN9,R,0.0,
