param,value,with_dng02,n_relay_cells_changed,dlmn_cf_hz,dvmn_hz,steering_hz,exc_relays_active,exc_relays_total,cns_hz,wall_s,dlm_in_band,dvm_in_band,both_in_band,flooded
tau_m_ms,5.0,False,22277,0.0,0.0,32.62660714285715,6,92,0.21125010624448012,18,False,False,False,False
tau_m_ms,5.0,True,22248,0.12625,0.0,32.301964285714284,9,92,0.21129689517170874,18,False,False,False,False
tau_m_ms,10.0,False,22277,0.0,0.0,33.45625,5,92,0.20767073804854674,17,False,False,False,False
tau_m_ms,10.0,True,22248,0.0,0.0,34.01535714285715,5,92,0.20773578726900493,17,False,False,False,False
tau_m_ms,20.0,False,22277,0.0,0.0,33.78089285714285,5,92,0.1951052150595096,17,False,False,False,False
tau_m_ms,20.0,True,22248,0.0,0.0,33.798928571428576,5,92,0.19528134479323536,17,False,False,False,False
tau_m_ms,40.0,False,22277,0.0,0.0,34.754821428571425,5,92,0.18677401995888454,18,False,False,False,False
tau_m_ms,40.0,True,22248,0.0,0.0,34.93517857142857,5,92,0.1869783831427223,18,False,False,False,False
v_thresh_mV,-48.0,False,22277,0.0,1.01,22.59875,19,92,0.2671588671543038,18,False,False,False,False
v_thresh_mV,-48.0,True,22248,0.0,4.2925,23.753035714285716,19,92,0.26862507129502383,28,False,True,False,False
v_thresh_mV,-46.5,False,22277,0.0,0.0,30.209821428571427,10,92,0.21330393046533946,35,False,False,False,False
v_thresh_mV,-46.5,True,22248,0.0,0.0,30.263928571428572,9,92,0.21368264876284643,35,False,False,False,False
v_thresh_mV,-45.0,False,22277,0.0,0.0,33.78089285714285,5,92,0.1951052150595096,34,False,False,False,False
v_thresh_mV,-45.0,True,22248,0.0,0.0,33.798928571428576,5,92,0.19528134479323536,34,False,False,False,False
v_thresh_mV,-42.0,False,22277,0.0,0.0,22.725,1,92,0.14057106091167837,35,False,False,False,False
v_thresh_mV,-42.0,True,22248,0.0,0.0,22.59875,1,92,0.14061658623833162,35,False,False,False,False
refractory_ms,1.0,False,22277,0.0,0.0,34.754821428571425,3,92,0.195415175407802,33,False,False,False,False
refractory_ms,1.0,True,22248,0.0,0.0,34.736785714285716,3,92,0.1957692785785415,35,False,False,False,False
refractory_ms,2.2,False,22277,0.0,0.0,33.78089285714285,5,92,0.1951052150595096,34,False,False,False,False
refractory_ms,2.2,True,22248,0.0,0.0,33.798928571428576,5,92,0.19528134479323536,34,False,False,False,False
refractory_ms,5.0,False,22277,0.0,0.0,25.556607142857143,4,92,0.1576458331415262,33,False,False,False,False
refractory_ms,5.0,True,22248,0.0,0.0,25.412321428571428,3,92,0.15769426872404596,34,False,False,False,False
